SQL> select*from PROGRAMS;
         1,                                                                                                    ,                                                                                                    ,
         2,Dartmouth College                                                                                   ,ECE                                                                                                 ,MA
       430,Columbia University                                                                                 ,ChemE                                                                                               ,BS
       431,Columbia University                                                                                 ,CSE                                                                                                 ,BS
       432,Dartmouth College                                                                                   ,BME                                                                                                 ,BS
       433,Cornell University                                                                                  ,ME                                                                                                  ,BA
       434,University of Pennsylvania                                                                          ,Microbiology                                                                                        ,MA
       435,Brown University                                                                                    ,Physics                                                                                             ,BS
       436,Columbia University                                                                                 ,Microbiology                                                                                        ,MS
       437,Brown University                                                                                    ,Plant Biology                                                                                       ,MA
       438,Yale University                                                                                     ,BME                                                                                                 ,BA
       439,Dartmouth College                                                                                   ,CSE                                                                                                 ,MA
       440,Columbia University                                                                                 ,ChemE                                                                                               ,MA
       441,University of Pennsylvania                                                                          ,CSE                                                                                                 ,BA
       442,Columbia University                                                                                 ,EE                                                                                                  ,BA
       443,Brown University                                                                                    ,CSE                                                                                                 ,BA
       444,Harvard University                                                                                  ,BME                                                                                                 ,BS
       445,Cornell University                                                                                  ,ME                                                                                                  ,MSE
       446,Columbia University                                                                                 ,Microbiology                                                                                        ,MA
       447,Yale University                                                                                     ,ChemE                                                                                               ,BS
       448,Brown University                                                                                    ,Microbiology                                                                                        ,MS
       449,Yale University                                                                                     ,Plant Biology                                                                                       ,MSE
       450,Harvard University                                                                                  ,Physics                                                                                             ,BA
       451,Dartmouth College                                                                                   ,Baby Stylist                                                                                        ,BS
       452,Brown University                                                                                    ,ME                                                                                                  ,MSE
       453,Cornell University                                                                                  ,EE                                                                                                  ,MS
       454,Brown University                                                                                    ,Microbiology                                                                                        ,MSE
       455,Yale University                                                                                     ,The Art of Fun-Having                                                                               ,BS
       456,Dartmouth College                                                                                   ,Cell Biology                                                                                        ,BS
       457,Dartmouth College                                                                                   ,EE                                                                                                  ,BA
       458,Harvard University                                                                                  ,CSE                                                                                                 ,BS
       459,Yale University                                                                                     ,Plant Biology                                                                                       ,BA
       460,University of Pennsylvania                                                                          ,The Art of Fun-Having                                                                               ,BA
       461,Cornell University                                                                                  ,ME                                                                                                  ,MA
       462,Brown University                                                                                    ,The Art of Fun-Having                                                                               ,MA
       463,Harvard University                                                                                  ,EE                                                                                                  ,MA
       464,Columbia University                                                                                 ,The Art of Fun-Having                                                                               ,BS
       465,Columbia University                                                                                 ,BME                                                                                                 ,MSE
       466,Columbia University                                                                                 ,Scocial Science                                                                                     ,BA
       467,Brown University                                                                                    ,ECE                                                                                                 ,MS
       468,University of Pennsylvania                                                                          ,Cell Biology                                                                                        ,BS
       469,Columbia University                                                                                 ,CSE                                                                                                 ,MA
       470,University of Pennsylvania                                                                          ,ME                                                                                                  ,MS
       471,Harvard University                                                                                  ,Baby Stylist                                                                                        ,MA
       472,Harvard University                                                                                  ,The Art of Fun-Having                                                                               ,BA

472 rows selected.

SQL> spool off
